,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,magMean,magStd,magMin,magLq,magMedian,magUq,magMax,sentMean,sentStd,sentMin,sentLq,sentMedian,sentUq,sentMax
0,2013-01-17,Joe Rogan Experience #1 - Brian Redban,2,673255,2091,6485,175,37.05714285714286,36.77962516733597,27.964860298485178,0.16,15.3325,30.915,52.114999999999995,173.46,0.20133868808567612,0.2109369310893826,-0.8,0.0925,0.22,0.33,0.75
1,2013-01-17,Joe Rogan Experience #2 - Brian Redban,2,134693,359,1004,68,14.764705882352946,40.918090277777736,32.682712510394815,1.23,15.6725,33.695,56.847500000000004,187.24,0.1551041666666667,0.22837401985394679,-0.64,0.07,0.17,0.3025,0.72
2,2013-01-17,Joe Rogan Experience #3 - Ari Shaffir,2,133176,320,1016,66,15.393939393939394,37.65151394422312,27.892916263790063,0.28,16.585,31.38,55.480000000000004,123.39,0.17386454183266947,0.22895896046603914,-0.67,0.06,0.18,0.3,0.75
3,2013-01-17,Joe Rogan Experience #5 - Ari Shaffir & John Heffron (Part 1),2,49565,59,343,19,18.05263157894737,54.128431372549024,46.77856215714839,1.88,20.765,45.49,68.045,234.21,0.11901960784313725,0.26274135496309514,-0.75,0.015,0.16,0.25,0.72
4,2013-01-18,Joe Rogan Experience #5 - Ari Shaffir & John Heffron (Part 2),2,33535,48,278,11,25.272727272727273,37.703111111111106,29.193179528960208,1.88,16.15,28.63,57.57,132.69,0.18688888888888897,0.2306297921130334,-0.34,0.07,0.16,0.32,0.68
5,2013-01-18,Joe Rogan Experience #6 - Brian Redban,2,39780,104,399,19,21.0,43.95839506172839,34.52081018953604,1.88,21.04,36.69,58.37,224.43,0.1628395061728396,0.19601807676781516,-0.8,0.06,0.18,0.27,0.63
6,2013-01-18,Joe Rogan Experience #7 - Brian Redban,2,32255,58,316,13,24.30769230769231,43.306250000000006,32.39277865578304,1.29,16.585,37.885000000000005,60.5875,126.97,0.13895833333333332,0.24823838562819164,-0.61,0.034999999999999996,0.16,0.275,0.63
7,2013-01-18,Joe Rogan Experience #9 - Brian Redban (Part 1),2,20522,29,217,8,27.125,32.17565217391304,40.15655440965193,1.25,3.25,23.29,42.455,180.35,0.15304347826086956,0.2579717176642131,-0.45,0.07,0.11,0.265,0.75
8,2013-01-18,Joe Rogan Experience #9 - Brian Redban (Part 2),2,14343,28,197,6,32.833333333333336,33.57782608695652,25.106049245065467,0.75,19.545,27.62,42.735,99.03,0.053913043478260876,0.2632444272126155,-0.82,0.05,0.11,0.17,0.39
9,2013-01-18,Joe Rogan Experience #11 - Ari Shaffir,2,25240,39,251,7,35.857142857142854,39.61323529411764,29.812527844656405,1.88,17.145,33.269999999999996,51.4075,138.57,0.12529411764705886,0.2009256653458,-0.2,-0.0375,0.1,0.3,0.63
10,2013-01-18,Joe Rogan Experience #12 - Joe Rogan,2,42427,102,575,11,52.27272727272727,39.164186046511645,31.48664820542254,1.88,15.9375,31.405,54.1325,168.29,0.23093023255813958,0.23488484240769236,-0.63,0.1225,0.24,0.34,0.79
11,2013-01-18,Joe Rogan Experience #13 - Eddie Bravo,1,59070,203,626,14,44.714285714285715,32.81811320754717,26.262265227860585,0.75,13.775,27.47,43.635000000000005,134.37,0.19301886792452838,0.22934898154984418,-0.75,0.10500000000000001,0.21,0.3,0.75
12,2013-01-18,Joe Rogan Experience #14 - Brian Redban,2,20124,66,230,6,38.333333333333336,36.0921052631579,29.688624970375088,1.88,15.34,25.02,54.98,145.84,0.1957894736842106,0.1554825135829595,-0.27,0.11,0.21,0.27,0.64
13,2013-01-18,Joe Rogan Experience #15 - Brian Redban,2,16275,38,232,11,21.09090909090909,35.57533333333333,25.330731741793656,1.88,11.2525,34.635000000000005,51.47,114.2,0.13433333333333333,0.20977300265686755,-0.33,0.0625,0.14,0.2675,0.61
14,2013-01-18,Joe Rogan Experience #16 - Brian Redban,2,14611,25,179,7,25.57142857142857,41.90111111111111,27.23397637659704,3.75,16.615000000000002,48.62,64.58250000000001,84.22,0.20277777777777775,0.24769064091073617,-0.41,0.08499999999999999,0.155,0.38749999999999996,0.59
15,2013-01-18,"Joe Rogan Experience #17 - Ari Shaffir, Eddie Bravo",2,95351,374,954,34,28.058823529411764,41.71996753246752,30.95578426526729,0.42,16.79,36.195,59.607499999999995,173.98,0.18561688311688312,0.22018930848410717,-0.83,0.08,0.19,0.33,0.72
16,2013-01-18,Joe Rogan Experience #18 - Brian Redban,2,18968,54,263,10,26.3,36.604565217391304,27.831436957873674,0.82,18.225,33.835,48.935,112.33,0.15695652173913044,0.27071813603588507,-0.83,0.06,0.2,0.3175,0.72
17,2013-01-18,Joe Rogan Experience #19 - Brian Redban,2,18778,32,220,10,22.0,35.46714285714285,25.16290242005199,1.88,15.987499999999999,32.795,51.129999999999995,96.68,0.19964285714285715,0.1662546494556121,-0.37,0.10750000000000001,0.22999999999999998,0.29,0.43
18,2013-01-18,Joe Rogan Experience #20 - Tom Segura,2,65473,137,623,23,27.08695652173913,37.67089285714286,26.39289358194847,0.31,17.5675,32.295,52.0125,127.41,0.1685714285714286,0.21635746673168776,-0.57,0.057499999999999996,0.19,0.28250000000000003,0.65
19,2013-01-18,Joe Rogan Experience #21 - Brian Redban,2,22808,59,251,11,22.818181818181817,40.37196078431372,34.82570717269689,0.58,12.585,31.3,50.709999999999994,134.07,0.1852941176470588,0.21467513075506878,-0.46,0.09,0.18,0.33,0.61
20,2013-01-18,Joe Rogan Experience #24 - Eddie Bravo,1,45338,98,360,8,45.0,46.33701149425287,47.519734385634585,1.88,19.245,33.63,56.394999999999996,334.15,0.13781609195402303,0.2044130865932906,-0.6,0.06,0.14,0.24,0.75
21,2013-01-18,Joe Rogan Experience #25 - Joey Diaz,2,151090,401,1771,74,23.932432432432428,40.54364457831326,33.063966718107714,0.08,16.2275,31.34,59.2825,223.97,0.16774096385542162,0.24188837731115204,-0.85,0.057499999999999996,0.17,0.33,0.75
22,2013-01-18,Joe Rogan Experience #26 - Bill Burr,2,394769,708,2998,181,16.563535911602212,47.667905282331496,36.98986794817102,0.5,22.15,42.01,63.31,373.19,0.15258652094717665,0.21711835019907,-0.8,0.05,0.16,0.28,0.87
23,2013-01-19,Joe Rogan Experience #27 - Sam Tripoli,2,25055,83,282,13,21.69230769230769,46.99891891891891,36.74298787142063,0.2,24.682499999999997,41.85,60.332499999999996,165.08,0.057972972972972985,0.2378843953707417,-0.74,-0.05,0.09,0.16,0.66
24,2013-01-19,Joe Rogan Experience #28 - Joey Diaz,2,131994,270,1160,57,20.350877192982455,46.84995192307693,36.55884935526901,0.58,19.135,38.42,63.68750000000001,211.83,0.1559134615384615,0.2148679680237281,-0.68,0.05,0.17,0.31,0.64
25,2013-01-19,Joe Rogan Experience #29 - Brian Redban,2,18156,41,234,9,26.0,41.46515151515151,34.8494897847526,1.25,15.16,33.4,57.31,147.69,0.23515151515151514,0.23004240386449964,-0.47,0.16,0.21,0.34,0.75
26,2013-01-19,Joe Rogan Experience #31 -- Mayhem Miller,1,39977,113,356,18,19.777777777777786,46.94463917525774,33.52968939555211,1.0,20.72,41.28,69.93,146.79,0.08154639175257736,0.24069491497790294,-0.75,-0.05,0.11,0.23,0.81
27,2013-01-19,Joe Rogan Experience #33 -- Dane Cook,2,121090,244,1000,63,15.873015873015873,44.04119402985076,31.001538438715652,2.63,20.13,39.63,61.26,180.0,0.20776119402985066,0.23203763204826752,-0.67,0.09,0.2,0.35,0.75
28,2013-01-19,Joe Rogan Experience #34 -- Doug Benson,2,21476,18,168,5,33.6,44.31647058823529,28.821461825603254,2.88,28.67,31.61,65.91,94.53,0.24352941176470586,0.18148488836782625,-0.13,0.18,0.27,0.37,0.6
29,2013-01-19,Joe Rogan Experience #35 -- Joey Diaz & Eddie Bravo,2,111050,283,1032,56,18.428571428571427,39.695811965811956,31.812019585534244,0.28,13.864999999999998,33.835,60.215,163.59,0.152008547008547,0.22077658470911202,-0.83,0.07,0.16,0.2975,0.72
30,2013-01-19,Joe Rogan Experience #37 - Ricky Schroder,4,15947,35,164,4,41.0,44.71484848484849,36.503710866260924,1.58,13.64,40.92,54.79,134.6,0.18393939393939393,0.18319967579698718,-0.25,0.09,0.15,0.3,0.57
31,2013-01-19,Joe Rogan Experience #38 - Bryan Callen,2,25484,45,293,11,26.63636363636364,38.53400000000001,23.583008529067094,1.63,18.45,40.68,54.864999999999995,87.71,0.2455,0.18123437156317074,-0.1,0.09,0.25,0.36250000000000004,0.69
32,2013-01-19,"Joe Rogan Experience #39 - Joey Diaz, Eddie Bravo (Part 1)",2,89579,192,874,36,24.277777777777786,35.81816993464053,25.74155194678104,0.38,15.05,29.31,52.25,124.79,0.16300653594771244,0.23651828951011344,-0.76,0.05,0.18,0.31,0.65
33,2013-01-19,"Joe Rogan Experience #39 - Joey Diaz, Eddie Bravo (Part 2)",2,11426,4,149,5,29.8,52.9475,26.54284508111366,37.1,38.405,41.06,55.6025,92.57,0.1825,0.2964652874565025,-0.2,0.0475,0.215,0.35,0.5
34,2013-01-19,Joe Rogan Experience #40 - Tyler Knight,0,14627,20,138,12,11.5,37.592666666666666,20.379641615616116,4.87,25.259999999999998,32.38,47.635000000000005,81.52,0.27599999999999997,0.18007141440471414,-0.05,0.195,0.3,0.345,0.65
35,2013-01-19,Joe Rogan Experience #44 - Todd McCormick (Part 2),5,13374,19,138,4,34.5,47.959999999999994,30.999014823055266,0.82,26.5775,39.995000000000005,79.58,100.58,0.215,0.1726653796605832,-0.02,0.0825,0.225,0.30499999999999994,0.52
36,2013-01-19,Joe Rogan Experience #45 - Tom Green,2,49979,146,470,20,23.5,38.55335937500003,26.03829152678056,0.94,17.994999999999997,33.975,53.14,105.51,0.22148437499999996,0.22440503960736063,-0.44,0.09,0.22,0.35,0.7
37,2013-01-19,Joe Rogan Experience #46 - Chris Aubrey Marcus (Part 1),0,19046,25,198,6,33.0,34.097272727272724,24.047270547386884,2.29,12.787500000000001,32.144999999999996,45.215,88.96,0.1763636363636363,0.21097382944326698,-0.17,0.01,0.2,0.315,0.59
38,2013-01-19,Joe Rogan Experience #46 - Chris Aubrey Marcus (Part 2),0,7395,7,88,5,17.6,38.48333333333333,20.93123280331731,9.88,26.655,36.15,53.5425,65.89,-0.0033333333333333335,0.2538240860648703,-0.38,-0.065,-0.035,0.07,0.4
39,2013-01-19,Joe Rogan Experience #47 - Michael Schiavello,1,16046,26,166,7,23.714285714285715,43.35217391304348,28.431128100363665,3.85,26.715,37.56,55.79,125.56,0.2021739130434783,0.2621581154005264,-0.35,0.045000000000000005,0.22,0.325,0.75
40,2013-01-20,Joe Rogan Experience #54 - Eddie Bravo,1,27018,97,293,12,24.41666666666667,46.07722891566267,30.979492560411913,1.25,24.310000000000002,38.58,60.685,158.78,0.15530120481927712,0.2064587441774051,-0.76,0.09,0.17,0.27,0.68
41,2013-01-20,Joe Rogan Experience #55 - Duncan Trussell,2,79728,269,826,32,25.8125,39.82497695852535,35.42373066970293,0.42,14.98,31.89,55.67,213.85,0.16769585253456223,0.25524360120273554,-0.8,0.03,0.18,0.31,0.87
42,2013-01-20,Joe Rogan Experience #53 - Freddy Lockhart,2,12145,28,136,5,27.2,53.657599999999995,32.379431392989794,13.79,25.24,49.9,68.36,132.74,0.18960000000000002,0.28508010570130404,-0.44,0.05,0.16,0.36,0.72
43,2013-01-20,Joe Rogan Experience #58 - Mayhem Miller,1,26918,67,236,9,26.222222222222207,41.67983050847458,30.493371325558012,5.38,16.585,34.17,61.644999999999996,137.57,0.17627118644067788,0.26090623434671295,-0.5,0.08499999999999999,0.2,0.32,0.75
44,2013-01-20,Joe Rogan Experience #59 - Ralphie May,2,216333,602,1618,132,12.257575757575758,43.933669527897024,33.30444751290758,0.31,20.145,38.045,59.555,227.82,0.15615879828326168,0.26782446606191235,-0.75,0.03,0.17,0.32,0.76
45,2013-01-20,Joe Rogan Experience #71 - Al Madrigal,2,13832,8,136,9,15.111111111111107,46.33,30.44935138882272,22.28,24.42,32.56,57.8,94.59,0.23800000000000004,0.18349386910739007,-0.05,0.2,0.27,0.33,0.44
46,2013-01-20,Joe Rogan Experience #72 - Ari Shaffir,2,13161,26,159,4,39.75,44.38238095238095,23.310672428045038,17.19,25.06,39.6,49.59,95.76,0.19761904761904764,0.3376078310985212,-0.8,0.03,0.23,0.46,0.69
47,2013-01-20,Joe Rogan Experience #73 - Bert Kreischer,2,65145,98,747,25,29.88,47.74817204301074,38.3479941073459,0.58,21.5,37.57,59.97,182.94,0.18376344086021507,0.2566672434618268,-0.54,0.0,0.19,0.36,0.75
48,2013-01-21,Joe Rogan Experience #74 - Allison Sciulla,2,13639,20,135,2,67.5,36.5375,25.19529234954315,3.75,16.862499999999997,34.775000000000006,52.44,89.81,0.20099999999999998,0.21274892541011314,-0.29,0.10500000000000001,0.2,0.345,0.63
49,2013-01-21,Joe Rogan Experience #75 - Sam Tripoli,2,11465,21,146,8,18.25,53.74368421052632,29.533773550241747,3.89,31.67,57.82,75.125,112.2,0.1842105263157895,0.20710479873923426,-0.21,0.095,0.18,0.26,0.67
50,2013-01-21,Joe Rogan Experience #76 - Bobby Lee,2,447819,1048,4200,191,21.98952879581152,42.72945083014047,32.03859415896211,0.31,18.205,36.35,59.045,192.15,0.1383014048531288,0.24104217687746993,-0.74,0.02,0.15,0.28,0.84
51,2013-01-21,Joe Rogan Experience #77 - Eddie Ifft,2,8383,12,105,3,35.0,54.877500000000005,39.323678530648905,11.92,26.8125,39.94,74.86749999999999,150.23,0.12583333333333332,0.25303461255629667,-0.47,0.0625,0.20500000000000002,0.29000000000000004,0.37
52,2013-01-21,Joe Rogan Experience #79 - Jon Lajoie,2,19778,47,313,5,62.6,45.01586956521739,41.012018107221365,1.89,14.375,39.765,58.17250000000001,206.62,0.13869565217391305,0.21935874924325496,-0.44,-0.012499999999999999,0.165,0.23,0.72
53,2013-01-21,Joe Rogan Experience #80 - Joey Diaz & Ari Shaffir,2,19002,15,154,3,51.33333333333334,31.159999999999997,17.162746328558885,5.67,20.36,31.13,45.8775,57.07,0.27928571428571425,0.18991756453440875,-0.04,0.1725,0.26,0.35,0.72
54,2013-01-21,Joe Rogan Experience #82 - Dave Foley,2,96022,284,1030,40,25.75,55.397445887445876,39.71688655170731,0.93,24.89,48.15,76.765,199.2,0.18796536796536795,0.20031869958669143,-0.49,0.07,0.2,0.305,0.72
55,2013-01-21,Joe Rogan Experience #83 - Bas Rutten,1,127150,206,1185,31,38.2258064516129,46.08955414012739,36.0032439838973,0.18,17.47,39.88,67.1,187.19,0.15464968152866237,0.2470194860537981,-0.83,0.06,0.18,0.28,0.68
56,2013-01-21,Joe Rogan Experience #84 - Duncan Trussell,2,64042,130,623,19,32.78947368421053,46.994725274725276,40.909958237319714,0.25,17.345,31.65,64.17500000000001,188.64,0.14219780219780223,0.2801658326293442,-0.83,0.04,0.17,0.33,0.7
57,2013-01-21,Joe Rogan Experience #87 - Dana Dearmond,4,42255,61,288,15,19.2,34.81340000000001,26.82075602048167,1.25,12.74,31.759999999999998,49.83,137.85,0.16859999999999997,0.24489906292268282,-0.67,0.0675,0.19,0.2875,0.75
58,2013-01-21,Joe Rogan Experience #88 - Andy Dick,2,188262,433,1346,76,17.710526315789473,42.28922413793104,33.2658321082103,0.1,17.8925,35.3,57.9925,186.06,0.12436781609195413,0.2534372406072733,-0.88,0.0,0.14,0.3,0.75
59,2013-01-21,Joe Rogan Experience #89 - Bryan Callen,2,26266,55,266,9,29.555555555555557,36.05500000000001,28.497573319607113,1.88,15.25,28.275,48.765,132.04,0.064375,0.26066123976321,-0.61,-0.05500000000000001,0.14500000000000002,0.20500000000000002,0.61
