,Unnamed: 0,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,sentiment,magnitude
0,0,2013-01-17,Joe Rogan Experience #1 - Brian Redban,2,673255,2091,6485,175,37.05714285714286,0.17549591598599773,32.0587864644107
1,1,2013-01-17,Joe Rogan Experience #2 - Brian Redban,2,134693,359,1004,68,14.764705882352946,0.13660550458715598,36.03795107033636
2,2,2013-01-17,Joe Rogan Experience #3 - Ari Shaffir,2,133176,320,1016,66,15.393939393939394,0.1454666666666668,31.50176666666668
3,3,2013-01-17,Joe Rogan Experience #5 - Ari Shaffir & John Heffron (Part 1),2,49565,59,343,19,18.05263157894737,0.1028813559322034,46.78898305084746
4,4,2013-01-18,Joe Rogan Experience #5 - Ari Shaffir & John Heffron (Part 2),2,33535,48,278,11,25.272727272727273,0.1752083333333334,35.346666666666664
5,5,2013-01-18,Joe Rogan Experience #6 - Brian Redban,2,39780,104,399,19,21.0,0.1433695652173914,38.70249999999999
6,6,2013-01-18,Joe Rogan Experience #7 - Brian Redban,2,32255,58,316,13,24.30769230769231,0.115,35.8396551724138
7,7,2013-01-18,Joe Rogan Experience #9 - Brian Redban (Part 1),2,20522,29,217,8,27.125,0.12137931034482755,25.518620689655176
8,8,2013-01-18,Joe Rogan Experience #9 - Brian Redban (Part 2),2,14343,28,197,6,32.833333333333336,0.044285714285714296,27.58178571428571
9,9,2013-01-18,Joe Rogan Experience #11 - Ari Shaffir,2,25240,39,251,7,35.857142857142854,0.10923076923076927,34.534615384615385
10,10,2013-01-18,Joe Rogan Experience #12 - Joe Rogan,2,42427,102,575,11,52.27272727272727,0.1947058823529412,33.02078431372551
11,11,2013-01-18,Joe Rogan Experience #13 - Eddie Bravo,1,59070,203,626,14,44.714285714285715,0.16679347826086965,28.35913043478261
12,12,2013-01-18,Joe Rogan Experience #14 - Brian Redban,2,20124,66,230,6,38.333333333333336,0.16909090909090915,31.17045454545455
13,13,2013-01-18,Joe Rogan Experience #15 - Brian Redban,2,16275,38,232,11,21.09090909090909,0.10891891891891893,28.844864864864864
14,14,2013-01-18,Joe Rogan Experience #16 - Brian Redban,2,14611,25,179,7,25.57142857142857,0.146,30.1688
15,15,2013-01-18,"Joe Rogan Experience #17 - Ari Shaffir, Eddie Bravo",2,95351,374,954,34,28.058823529411764,0.16571014492753625,37.24565217391303
16,16,2013-01-18,Joe Rogan Experience #18 - Brian Redban,2,18968,54,263,10,26.3,0.13884615384615387,32.380961538461534
17,17,2013-01-18,Joe Rogan Experience #19 - Brian Redban,2,18778,32,220,10,22.0,0.1746875,31.03375
18,18,2013-01-18,Joe Rogan Experience #20 - Tom Segura,2,65473,137,623,23,27.08695652173913,0.1378102189781022,30.796642335766425
19,19,2013-01-18,Joe Rogan Experience #21 - Brian Redban,2,22808,59,251,11,22.818181818181817,0.16016949152542373,34.897796610169486
20,20,2013-01-18,Joe Rogan Experience #24 - Eddie Bravo,1,45338,98,360,8,45.0,0.12360824742268045,41.56
21,21,2013-01-18,Joe Rogan Experience #25 - Joey Diaz,2,151090,401,1771,74,23.932432432432428,0.14540469973890333,35.14488250652742
22,22,2013-01-18,Joe Rogan Experience #26 - Bill Burr,2,394769,708,2998,181,16.563535911602212,0.13869205298013246,43.32728476821191
23,23,2013-01-19,Joe Rogan Experience #27 - Sam Tripoli,2,25055,83,282,13,21.69230769230769,0.05231707317073172,42.41365853658536
24,24,2013-01-19,Joe Rogan Experience #28 - Joey Diaz,2,131994,270,1160,57,20.350877192982455,0.14038961038961034,42.185238095238105
25,25,2013-01-19,Joe Rogan Experience #29 - Brian Redban,2,18156,41,234,9,26.0,0.1892682926829269,33.37439024390244
26,26,2013-01-19,Joe Rogan Experience #31 -- Mayhem Miller,1,39977,113,356,18,19.777777777777786,0.07256880733944958,41.77642201834863
27,27,2013-01-19,Joe Rogan Experience #33 -- Dane Cook,2,121090,244,1000,63,15.873015873015873,0.18235807860262,38.656244541484725
28,28,2013-01-19,Joe Rogan Experience #34 -- Doug Benson,2,21476,18,168,5,33.6,0.23,41.854444444444454
29,29,2013-01-19,Joe Rogan Experience #35 -- Joey Diaz & Eddie Bravo,2,111050,283,1032,56,18.428571428571427,0.1293454545454545,33.77752727272726
30,30,2013-01-19,Joe Rogan Experience #37 - Ricky Schroder,4,15947,35,164,4,41.0,0.1734285714285714,42.15971428571429
31,31,2013-01-19,Joe Rogan Experience #38 - Bryan Callen,2,25484,45,293,11,26.63636363636364,0.21822222222222226,34.252444444444464
32,32,2013-01-19,"Joe Rogan Experience #39 - Joey Diaz, Eddie Bravo (Part 1)",2,89579,192,874,36,24.277777777777786,0.13481081081081084,29.622594594594602
33,33,2013-01-19,"Joe Rogan Experience #39 - Joey Diaz, Eddie Bravo (Part 2)",2,11426,4,149,5,29.8,0.1825,52.9475
34,34,2013-01-19,Joe Rogan Experience #40 - Tyler Knight,0,14627,20,138,12,11.5,0.207,28.1945
35,35,2013-01-19,Joe Rogan Experience #44 - Todd McCormick (Part 2),5,13374,19,138,4,34.5,0.18105263157894733,40.38736842105264
