date,Unnamed: 0,commentCount,date,dislikeCount,likeCount,title,viewCount,ratio,class,sentiment,magnitude
2013-01-17,0,2091,2013-01-17,175,6485,Joe Rogan Experience #1 - Brian Redban,673255,37.05714285714286,2,0.17549591598599773,32.0587864644107
2013-01-17,1,359,2013-01-17,68,1004,Joe Rogan Experience #2 - Brian Redban,134693,14.764705882352942,2,0.13660550458715598,36.037951070336355
2013-01-17,2,320,2013-01-17,66,1016,Joe Rogan Experience #3 - Ari Shaffir,133176,15.393939393939394,2,0.1454666666666668,31.501766666666676
2013-01-17,3,59,2013-01-17,19,343,Joe Rogan Experience #5 - Ari Shaffir & John Heffron (Part 1),49565,18.05263157894737,2,0.10288135593220339,46.78898305084746
2013-01-18,4,48,2013-01-18,11,278,Joe Rogan Experience #5 - Ari Shaffir & John Heffron (Part 2),33535,25.272727272727273,2,0.1752083333333334,35.346666666666664
2013-01-18,5,104,2013-01-18,19,399,Joe Rogan Experience #6 - Brian Redban,39780,21.0,2,0.1433695652173914,38.70249999999999
2013-01-18,6,58,2013-01-18,13,316,Joe Rogan Experience #7 - Brian Redban,32255,24.307692307692307,2,0.115,35.8396551724138
2013-01-18,7,29,2013-01-18,8,217,Joe Rogan Experience #9 - Brian Redban (Part 1),20522,27.125,2,0.12137931034482757,25.518620689655176
2013-01-18,8,28,2013-01-18,6,197,Joe Rogan Experience #9 - Brian Redban (Part 2),14343,32.833333333333336,2,0.044285714285714296,27.58178571428571
2013-01-18,9,39,2013-01-18,7,251,Joe Rogan Experience #11 - Ari Shaffir,25240,35.857142857142854,2,0.10923076923076927,34.534615384615385
2013-01-18,10,102,2013-01-18,11,575,Joe Rogan Experience #12 - Joe Rogan,42427,52.27272727272727,2,0.1947058823529412,33.02078431372551
2013-01-18,11,203,2013-01-18,14,626,Joe Rogan Experience #13 - Eddie Bravo,59070,44.714285714285715,2,0.16679347826086963,28.359130434782607
2013-01-18,12,66,2013-01-18,6,230,Joe Rogan Experience #14 - Brian Redban,20124,38.333333333333336,2,0.16909090909090915,31.170454545454547
2013-01-18,13,38,2013-01-18,11,232,Joe Rogan Experience #15 - Brian Redban,16275,21.09090909090909,2,0.10891891891891893,28.844864864864864
2013-01-18,14,25,2013-01-18,7,179,Joe Rogan Experience #16 - Brian Redban,14611,25.571428571428573,2,0.146,30.1688
2013-01-18,15,374,2013-01-18,34,954,"Joe Rogan Experience #17 - Ari Shaffir, Eddie Bravo",95351,28.058823529411764,2,0.16571014492753625,37.24565217391303
2013-01-18,16,54,2013-01-18,10,263,Joe Rogan Experience #18 - Brian Redban,18968,26.3,2,0.13884615384615387,32.380961538461534
2013-01-18,17,32,2013-01-18,10,220,Joe Rogan Experience #19 - Brian Redban,18778,22.0,2,0.1746875,31.033749999999998
2013-01-18,18,137,2013-01-18,23,623,Joe Rogan Experience #20 - Tom Segura,65473,27.08695652173913,2,0.1378102189781022,30.796642335766425
2013-01-18,19,59,2013-01-18,11,251,Joe Rogan Experience #21 - Brian Redban,22808,22.818181818181817,2,0.16016949152542373,34.897796610169486
2013-01-18,20,98,2013-01-18,8,360,Joe Rogan Experience #24 - Eddie Bravo,45338,45.0,2,0.12360824742268045,41.559999999999995
2013-01-18,21,401,2013-01-18,74,1771,Joe Rogan Experience #25 - Joey Diaz,151090,23.93243243243243,2,0.14540469973890333,35.14488250652742
2013-01-18,22,708,2013-01-18,181,2998,Joe Rogan Experience #26 - Bill Burr,394769,16.56353591160221,2,0.13869205298013243,43.32728476821191
2013-01-19,23,83,2013-01-19,13,282,Joe Rogan Experience #27 - Sam Tripoli,25055,21.692307692307693,2,0.05231707317073172,42.41365853658536
2013-01-19,24,270,2013-01-19,57,1160,Joe Rogan Experience #28 - Joey Diaz,131994,20.350877192982455,2,0.14038961038961037,42.1852380952381
2013-01-19,25,41,2013-01-19,9,234,Joe Rogan Experience #29 - Brian Redban,18156,26.0,2,0.18926829268292683,33.37439024390244
2013-01-19,26,113,2013-01-19,18,356,Joe Rogan Experience #31 -- Mayhem Miller,39977,19.77777777777778,1,0.07256880733944958,41.77642201834863
2013-01-19,27,244,2013-01-19,63,1000,Joe Rogan Experience #33 -- Dane Cook,121090,15.873015873015873,2,0.18235807860262002,38.656244541484725
2013-01-19,28,18,2013-01-19,5,168,Joe Rogan Experience #34 -- Doug Benson,21476,33.6,2,0.22999999999999998,41.85444444444445
2013-01-19,29,283,2013-01-19,56,1032,Joe Rogan Experience #35 -- Joey Diaz & Eddie Bravo,111050,18.428571428571427,2,0.1293454545454545,33.77752727272726
2013-01-19,30,35,2013-01-19,4,164,Joe Rogan Experience #37 - Ricky Schroder,15947,41.0,0,0.1734285714285714,42.15971428571429
2013-01-19,31,45,2013-01-19,11,293,Joe Rogan Experience #38 - Bryan Callen,25484,26.636363636363637,2,0.21822222222222223,34.25244444444446
2013-01-19,32,192,2013-01-19,36,874,"Joe Rogan Experience #39 - Joey Diaz, Eddie Bravo (Part 1)",89579,24.27777777777778,2,0.13481081081081084,29.622594594594602
2013-01-19,33,4,2013-01-19,5,149,"Joe Rogan Experience #39 - Joey Diaz, Eddie Bravo (Part 2)",11426,29.8,2,0.1825,52.9475
2013-01-19,34,20,2013-01-19,12,138,Joe Rogan Experience #40 - Tyler Knight,14627,11.5,1,0.207,28.194499999999998
2013-01-19,35,19,2013-01-19,4,138,Joe Rogan Experience #44 - Todd McCormick (Part 2),13374,34.5,0,0.18105263157894735,40.38736842105263
2013-01-19,36,146,2013-01-19,20,470,Joe Rogan Experience #45 - Tom Green,49979,23.5,2,0.201063829787234,34.99879432624116
2013-01-19,37,25,2013-01-19,6,198,Joe Rogan Experience #46 - Chris Aubrey Marcus (Part 1),19046,33.0,0,0.15519999999999995,30.0056
2013-01-19,38,7,2013-01-19,5,88,Joe Rogan Experience #46 - Chris Aubrey Marcus (Part 2),7395,17.6,0,-0.002857142857142857,32.98571428571428
2013-01-19,39,26,2013-01-19,7,166,Joe Rogan Experience #47 - Michael Schiavello,16046,23.714285714285715,1,0.17884615384615385,38.35
2013-01-20,40,97,2013-01-20,12,293,Joe Rogan Experience #54 - Eddie Bravo,27018,24.416666666666668,2,0.13288659793814434,39.42690721649486
2013-01-20,41,269,2013-01-20,32,826,Joe Rogan Experience #55 - Duncan Trussell,79728,25.8125,2,0.1479268292682927,35.13016260162602
2013-01-20,42,28,2013-01-20,5,136,Joe Rogan Experience #53 - Freddy Lockhart,12145,27.2,2,0.1692857142857143,47.90857142857142
2013-01-20,43,67,2013-01-20,9,236,Joe Rogan Experience #58 - Mayhem Miller,26918,26.22222222222222,1,0.15522388059701486,36.70313432835821
2013-01-20,44,602,2013-01-20,132,1618,Joe Rogan Experience #59 - Ralphie May,216333,12.257575757575758,2,0.13500927643784774,37.98346938775513
2013-01-20,45,8,2013-01-20,9,136,Joe Rogan Experience #71 - Al Madrigal,13832,15.11111111111111,2,0.14875000000000002,28.95625
2013-01-20,46,26,2013-01-20,4,159,Joe Rogan Experience #72 - Ari Shaffir,13161,39.75,2,0.15961538461538463,35.84730769230769
2013-01-20,47,98,2013-01-20,25,747,Joe Rogan Experience #73 - Bert Kreischer,65145,29.88,2,0.17618556701030927,45.77917525773195
2013-01-21,48,20,2013-01-21,2,135,Joe Rogan Experience #74 - Allison Sciulla,13639,67.5,0,0.20099999999999998,36.5375
2013-01-21,49,21,2013-01-21,8,146,Joe Rogan Experience #75 - Sam Tripoli,11465,18.25,2,0.16666666666666669,48.625238095238096
2013-01-21,50,1048,2013-01-21,191,4200,Joe Rogan Experience #76 - Bobby Lee,447819,21.98952879581152,2,0.12347776510832366,38.14955530216646
2013-01-21,51,12,2013-01-21,3,105,Joe Rogan Experience #77 - Eddie Ifft,8383,35.0,2,0.12583333333333332,54.877500000000005
2013-01-21,52,47,2013-01-21,5,313,Joe Rogan Experience #79 - Jon Lajoie,19778,62.6,2,0.13574468085106384,44.05808510638298
2013-01-21,53,15,2013-01-21,3,154,Joe Rogan Experience #80 - Joey Diaz & Ari Shaffir,19002,51.333333333333336,2,0.26066666666666666,29.082666666666665
2013-01-21,54,284,2013-01-21,40,1030,Joe Rogan Experience #82 - Dave Foley,96022,25.75,2,0.1750806451612903,51.60004032258063
2013-01-21,55,206,2013-01-21,31,1185,Joe Rogan Experience #83 - Bas Rutten,127150,38.225806451612904,1,0.1403468208092485,41.82693641618497
2013-01-21,56,130,2013-01-21,19,623,Joe Rogan Experience #84 - Duncan Trussell,64042,32.78947368421053,2,0.12442307692307696,41.12038461538462
2013-01-21,57,61,2013-01-21,15,288,Joe Rogan Experience #87 - Dana Dearmond,42255,19.2,0,0.14789473684210522,30.5380701754386
2013-01-21,58,433,2013-01-21,76,1346,Joe Rogan Experience #88 - Andy Dick,188262,17.710526315789473,2,0.11241558441558451,38.22506493506494
2013-01-21,59,55,2013-01-21,9,266,Joe Rogan Experience #89 - Bryan Callen,26266,29.555555555555557,2,0.059423076923076926,33.28153846153847
2013-01-21,60,295,2013-01-21,63,1151,Joe Rogan Experience #90 - Joey Diaz,137889,18.26984126984127,2,0.14018248175182474,34.29379562043794
2013-01-21,61,2436,2013-01-21,244,4472,Joe Rogan Experience #91 - Bill Burr,570728,18.327868852459016,2,0.10086757990867579,53.1490091324201
2013-01-21,62,14,2013-01-21,1,110,Joe Rogan Experience #93 - Eddie Bravo (Part 1),8783,110.0,2,0.1285714285714286,25.289285714285715
2013-01-21,63,19,2013-01-21,7,139,Joe Rogan Experience #93 - Eddie Bravo (Part 2),11972,19.857142857142858,2,0.2157894736842105,35.2478947368421
2013-01-21,64,22,2013-01-21,1,154,Joe Rogan Experience #94 - Joey Diaz (Part 1),15228,154.0,2,0.26999999999999996,26.18227272727273
2013-01-21,65,43,2013-01-21,10,246,Joe Rogan Experience #94 - Joey Diaz (Part 2),23610,24.6,2,0.1641860465116279,36.935116279069774
2013-01-21,66,15,2013-01-21,5,124,Joe Rogan Experience #94 - Joey Diaz (Part 3),12452,24.8,2,0.2106666666666667,40.45666666666666
2013-01-21,67,28,2013-01-21,1,209,Joe Rogan Experience #94 - Joey Diaz (Part 4),18329,209.0,2,0.1425,46.916785714285716
2013-01-21,68,94,2013-01-21,29,696,Joe Rogan Experience #95 - Bert Kreischer,72771,24.0,2,0.1756043956043955,42.2078021978022
2013-01-21,69,78,2013-01-21,9,264,Joe Rogan Experience #96 - Kevin Pereira,18764,29.333333333333332,0,0.14207547169811324,40.053396226415096
2013-01-21,70,21,2013-01-21,2,111,Joe Rogan Experience #97 - Freddy Lockhart,10585,55.5,2,0.1338095238095238,33.10523809523809
2013-01-21,71,22,2013-01-21,5,81,Joe Rogan Experience #98 - Daryl Wright & Brian Whitaker,7522,16.2,1,0.1731818181818182,41.69954545454545
2013-01-21,72,56,2013-01-21,14,247,Joe Rogan Experience #100 - Brian Redban,29002,17.642857142857142,2,0.1287037037037037,31.57777777777777
2013-01-21,73,51,2013-01-21,9,314,Joe Rogan Experience #101 - Adam Carolla (Part 1),32835,34.888888888888886,2,0.13823529411764707,47.48803921568627
2013-01-21,74,6,2013-01-21,2,110,Joe Rogan Experience #101 - Adam Carolla (Part 2),9219,55.0,2,-0.06166666666666667,20.273333333333337
2013-01-21,75,12,2013-01-21,4,88,Joe Rogan Experience #102 - John Heffron,8507,22.0,2,0.23000000000000007,50.276666666666664
2013-01-21,76,175,2013-01-21,31,729,Joe Rogan Experience #103 - Duncan Trussell,72399,23.516129032258064,2,0.118875,46.505437500000006
2013-01-21,77,30,2013-01-21,9,216,Joe Rogan Experience #105 - Bryan Callen (Part 1),19896,24.0,2,0.09233333333333335,54.401666666666664
2013-01-21,78,12,2013-01-21,1,109,Joe Rogan Experience #105 - Bryan Callen (Part 2),7499,109.0,2,0.14666666666666667,45.524166666666666
2013-01-21,79,39,2013-01-21,12,152,Joe Rogan Experience #106 - Steve Rannazzisi,17573,12.666666666666666,2,0.059743589743589766,34.36897435897437
2013-01-21,80,61,2013-01-21,6,300,Joe Rogan Experience #107 - Doug Benson,30543,50.0,2,0.1476785714285715,49.631607142857135
2013-01-21,81,264,2013-01-21,80,1283,Joe Rogan Experience #108 - Joey Diaz,146783,16.0375,2,0.14625514403292186,40.764855967078205
2013-01-21,82,75,2013-01-21,13,220,Joe Rogan Experience #109 - Ari Shaffir,20549,16.923076923076923,2,0.06492307692307692,39.31507692307693
2013-01-21,83,116,2013-01-21,26,559,Joe Rogan Experience #110 - Duncan Trussell,52252,21.5,2,0.10791304347826083,42.07782608695651
2013-01-21,84,25,2013-01-21,11,140,Joe Rogan Experience #111 - Al Madrigal,16110,12.727272727272727,2,0.11359999999999999,32.897600000000004
2013-01-21,85,21,2013-01-21,6,119,Joe Rogan Experience #112 - Cliff Bleszinski & Jon Christofaris,11317,19.833333333333332,0,0.15333333333333335,39.55952380952382
2013-01-21,86,43,2013-01-21,15,240,Joe Rogan Experience #113 - Brian Posehn,24888,16.0,2,0.13139534883720932,40.37186046511628
2013-01-21,87,33,2013-01-21,20,216,Joe Rogan Experience #114 - Neal Brennan,25677,10.8,2,0.15575757575757576,39.698484848484846
2013-01-21,88,16,2013-01-21,7,158,Joe Rogan Experience #115 - Maz Jobrani,11106,22.571428571428573,2,0.3175,36.32625
2013-01-22,89,21,2013-01-22,5,158,Joe Rogan Experience #116 - Russell Peters & Junior Simpson,14444,31.6,2,0.17666666666666667,35.98428571428572
2013-01-22,90,45,2013-01-22,9,267,Joe Rogan Experience #117 - Eddie Bravo,22343,29.666666666666668,2,0.11288888888888889,44.367777777777775
2013-01-22,91,35,2013-01-22,8,245,Joe Rogan Experience #118 - Ari Shaffir,25938,30.625,2,0.09176470588235294,31.88058823529412
2013-01-22,92,128,2013-01-22,58,141,Joe Rogan Experience #119 - Jan Irvin,16879,2.4310344827586206,0,0.05674796747967478,47.35073170731709
2013-01-22,93,49,2013-01-22,13,335,Joe Rogan Experience #121 - Bryan Callen,31390,25.76923076923077,2,0.2420408163265306,35.335510204081636
2013-01-22,94,43,2013-01-22,7,97,Joe Rogan Experience #122 - Jamie Kilstein,11254,13.857142857142858,2,0.1632558139534884,46.48813953488373
2013-01-22,95,57,2013-01-22,26,344,Joe Rogan Experience #123 - Tom Segura,40946,13.23076923076923,2,0.1267924528301887,31.549056603773586
2013-01-22,96,18,2013-01-22,4,123,Joe Rogan Experience #124 - Michael Schiavello (Part 1),13030,30.75,1,0.18500000000000003,56.902222222222235
